id,dishes_class_id,dishes_name,price,amt_discount,sortorder,bar_code,cost,is_info_menu_item,balance_price,pinyin,stock_count,picture_file,recommend_percent,weight,taste,description,ingredients,label,creation_method,dishes_characteristic,dept_name,dishes_class_name,dept_id
610071,3610, 42度海之蓝,99,0,0,,50,,,,-1,caipu/401004.jpg,0.76,1,辣,,高粱，水，大麦，豌豆,清香,,,统计17级,白酒类,330
609947,3613, 北冰洋汽水 ,5,0,0,,2,,,,-1,caipu/404003.jpg,NA,1,果味,,橙子，水,果味,,,统计17级,饮料类,330
610068,3610,38度剑南春 ,80,0,0,,30,,,,-1,caipu/401001.jpg,0.9,1,爽口,,水，高粱，小麦等,浓香,,,统计17级,白酒类,330
610069,3610,50度古井贡酒,90,0,0,,20,,,,-1,caipu/401002.jpg,0.86,1,爽口,,，水，高粱，小麦，玉米，糯米，大米,浓香,,,统计17级,白酒类,330
610070,3610,52度泸州老窖 ,159,0,0,,85,,,,-1,caipu/401003.jpg,0.85,1,清香,,红皮糯高粱,清香,,,统计17级,白酒类,330
610072,3610,53度茅台,128,0,0,,65,,,,-1,caipu/401005.jpg,0.88,1,清香,,水，高粱，大麦，豌豆,清香,,,统计17级,白酒类,330
610011,3617,白饭/大碗,10,0,0,,5,,,,-1,caipu/601005.jpg,0.83,1,原味,,大米，清水,主食,,,统计17级,米饭类,330
610010,3617,白饭/小碗,1,0,0,,0.5,,,,-1,caipu/601004.jpg,0.83,1,原味,,大米，清水,主食,,,统计17级,米饭类,330
609960,3601,白胡椒胡萝卜羊肉汤,35,0,0,,18,,,,-1,caipu/202006.jpg,0.8,3,爽口,,基围虾、面粉、生粉、鸡蛋和水适量，鸡蛋4个低粉68g，纯牛奶32g，盐、糖、孜然粉、白胡椒粉、黄酒、椒盐和沙拉油适量，细砂糖（蛋黄用）24g，细砂糖（打发蛋白用）48g，无味色拉油32g。,,,,统计17级,羊肉类,330
610019,3603,白斩鸡,88,0,0,,54,,,,-1,caipu/204002.jpg,0.85,3,香酥,富有营养，有滋补养身的作用,三黄鸡一只，姜蒜，辣椒油，黄瓜，香菜适量,冬季菜谱,,,统计17级,家禽类,330
